date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2024-09-01,2024,9,1,Sunday,channel,bmp,지도,5,17,9
2024-09-01,2024,9,1,Sunday,channel,bnb,블로그,1,17,9
2024-09-01,2024,9,1,Sunday,channel,bne,네이버기타,9,17,9
2024-09-01,2024,9,1,Sunday,channel,ple,플레이스상세,2,17,9
2024-09-02,2024,9,2,Monday,channel,bmp,지도,8,22,7
2024-09-02,2024,9,2,Monday,channel,bne,네이버기타,12,22,7
2024-09-02,2024,9,2,Monday,channel,ple,플레이스상세,1,22,7
2024-09-02,2024,9,2,Monday,channel,psa,플레이스광고,1,22,7
2024-09-03,2024,9,3,Tuesday,channel,bee,기타,1,13,1
2024-09-03,2024,9,3,Tuesday,channel,bne,네이버기타,5,13,1
2024-09-03,2024,9,3,Tuesday,channel,ple,플레이스상세,4,13,1
2024-09-03,2024,9,3,Tuesday,channel,pll,플레이스목록,1,13,1
2024-09-03,2024,9,3,Tuesday,channel,psa,플레이스광고,2,13,1
2024-09-04,2024,9,4,Wednesday,channel,bmp,지도,5,14,6
2024-09-04,2024,9,4,Wednesday,channel,bet,외부서비스,1,14,6
2024-09-04,2024,9,4,Wednesday,channel,bnb,블로그,1,14,6
2024-09-04,2024,9,4,Wednesday,channel,bne,네이버기타,3,14,6
2024-09-04,2024,9,4,Wednesday,channel,ple,플레이스상세,2,14,6
2024-09-04,2024,9,4,Wednesday,channel,psa,플레이스광고,2,14,6
2024-09-05,2024,9,5,Thursday,channel,bmp,지도,4,9,2
2024-09-05,2024,9,5,Thursday,channel,bne,네이버기타,5,9,2
2024-09-06,2024,9,6,Friday,channel,bmp,지도,6,12,2
2024-09-06,2024,9,6,Friday,channel,bee,기타,1,12,2
2024-09-06,2024,9,6,Friday,channel,bne,네이버기타,4,12,2
2024-09-06,2024,9,6,Friday,channel,pll,플레이스목록,1,12,2
2024-09-07,2024,9,7,Saturday,channel,bmp,지도,3,11,2
2024-09-07,2024,9,7,Saturday,channel,bnb,블로그,1,11,2
2024-09-07,2024,9,7,Saturday,channel,bne,네이버기타,5,11,2
2024-09-07,2024,9,7,Saturday,channel,ple,플레이스상세,1,11,2
2024-09-07,2024,9,7,Saturday,channel,pll,플레이스목록,1,11,2
2024-09-08,2024,9,8,Sunday,channel,bee,기타,1,10,7
2024-09-08,2024,9,8,Sunday,channel,bmp,지도,2,10,7
2024-09-08,2024,9,8,Sunday,channel,bne,네이버기타,5,10,7
2024-09-08,2024,9,8,Sunday,channel,ple,플레이스상세,2,10,7
2024-09-09,2024,9,9,Monday,channel,bmp,지도,5,19,1
2024-09-09,2024,9,9,Monday,channel,bee,기타,1,19,1
2024-09-09,2024,9,9,Monday,channel,bne,네이버기타,10,19,1
2024-09-09,2024,9,9,Monday,channel,ple,플레이스상세,1,19,1
2024-09-09,2024,9,9,Monday,channel,pll,플레이스목록,2,19,1
2024-09-10,2024,9,10,Tuesday,channel,bmp,지도,3,16,2
2024-09-10,2024,9,10,Tuesday,channel,bee,기타,1,16,2
2024-09-10,2024,9,10,Tuesday,channel,bet,외부서비스,1,16,2
2024-09-10,2024,9,10,Tuesday,channel,bne,네이버기타,9,16,2
2024-09-10,2024,9,10,Tuesday,channel,pll,플레이스목록,1,16,2
2024-09-10,2024,9,10,Tuesday,channel,psa,플레이스광고,1,16,2
2024-09-11,2024,9,11,Wednesday,channel,bmp,지도,4,15,5
2024-09-11,2024,9,11,Wednesday,channel,bne,네이버기타,6,15,5
2024-09-11,2024,9,11,Wednesday,channel,ple,플레이스상세,3,15,5
2024-09-11,2024,9,11,Wednesday,channel,pll,플레이스목록,2,15,5
2024-09-12,2024,9,12,Thursday,channel,bmp,지도,4,10,0
2024-09-12,2024,9,12,Thursday,channel,bee,기타,1,10,0
2024-09-12,2024,9,12,Thursday,channel,bne,네이버기타,4,10,0
2024-09-12,2024,9,12,Thursday,channel,ple,플레이스상세,1,10,0
2024-09-13,2024,9,13,Friday,channel,bmp,지도,5,11,1
2024-09-13,2024,9,13,Friday,channel,bee,기타,1,11,1
2024-09-13,2024,9,13,Friday,channel,bne,네이버기타,3,11,1
2024-09-13,2024,9,13,Friday,channel,ple,플레이스상세,2,11,1
2024-09-14,2024,9,14,Saturday,channel,bee,기타,1,11,4
2024-09-14,2024,9,14,Saturday,channel,bne,네이버기타,6,11,4
2024-09-14,2024,9,14,Saturday,channel,ple,플레이스상세,3,11,4
2024-09-14,2024,9,14,Saturday,channel,pll,플레이스목록,1,11,4
2024-09-15,2024,9,15,Sunday,channel,bmp,지도,1,4,0
2024-09-15,2024,9,15,Sunday,channel,bne,네이버기타,2,4,0
2024-09-15,2024,9,15,Sunday,channel,pll,플레이스목록,1,4,0
2024-09-16,2024,9,16,Monday,channel,bee,기타,1,9,1
2024-09-16,2024,9,16,Monday,channel,bmp,지도,2,9,1
2024-09-16,2024,9,16,Monday,channel,bne,네이버기타,2,9,1
2024-09-16,2024,9,16,Monday,channel,ple,플레이스상세,2,9,1
2024-09-16,2024,9,16,Monday,channel,pll,플레이스목록,1,9,1
2024-09-16,2024,9,16,Monday,channel,psa,플레이스광고,1,9,1
2024-09-17,2024,9,17,Tuesday,channel,bmp,지도,2,4,1
2024-09-17,2024,9,17,Tuesday,channel,bnb,블로그,1,4,1
2024-09-17,2024,9,17,Tuesday,channel,bne,네이버기타,1,4,1
2024-09-18,2024,9,18,Wednesday,channel,bmp,지도,1,9,4
2024-09-18,2024,9,18,Wednesday,channel,bne,네이버기타,7,9,4
2024-09-18,2024,9,18,Wednesday,channel,ple,플레이스상세,1,9,4
2024-09-19,2024,9,19,Thursday,channel,bmp,지도,5,24,5
2024-09-19,2024,9,19,Thursday,channel,bne,네이버기타,10,24,5
2024-09-19,2024,9,19,Thursday,channel,ple,플레이스상세,4,24,5
2024-09-19,2024,9,19,Thursday,channel,pll,플레이스목록,3,24,5
2024-09-19,2024,9,19,Thursday,channel,psa,플레이스광고,2,24,5
2024-09-20,2024,9,20,Friday,channel,bmp,지도,7,21,9
2024-09-20,2024,9,20,Friday,channel,pll,플레이스목록,2,21,9
2024-09-20,2024,9,20,Friday,channel,bee,기타,1,21,9
2024-09-20,2024,9,20,Friday,channel,bne,네이버기타,5,21,9
