date,year,month,day,day_of_week,data_type,name,pv,total_pv,channel_id,channel_type,channel_category,keyword,keyword_id,keyword_type,keyword_category
2024-09-01,2024,9,1,Sunday,channel,네이버검색,299.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,웹사이트,49.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,네이버지도,34.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,네이버 플레이스광고,2.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,285한의원구로디지털,90.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,285한의원구로동,74.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구로좋은아침한의원,40.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,좋은아침한의원구로디지털점,32.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,좋은아침한의원구로,30.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,좋은아침한의원구로디지털,22.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,한의원,3.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구로한방병원,2.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구디한의원,2.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구로디지털단지역한의원,2.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구로소아한의원,1.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,좋은아침한의원,1.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,가산디지털단지한의원,1.0,384.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,구로디지털단지한의원,1.0,384.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버검색,363.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,웹사이트,64.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버지도,46.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버 블로그,2.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,285한의원구로디지털,103.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,285한의원구로동,88.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,좋은아침한의원구로디지털,43.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,좋은아침한의원구로,40.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,구로좋은아침한의원,36.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,좋은아침한의원구로디지털점,25.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,한의원,7.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,구로한의원,6.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,좋은아침한의원,5.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,금천구내과입원치료,2.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,구로교통사고한의원,1.0,475.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,신대방야간진료한의원,1.0,475.0,,,,,,,
